time(us), stanley, env, control
1626575814, 0.875000, 22.250000, 5.000000
1629445814, 0.812500, 22.250000, 5.000000
1632315814, 0.812500, 22.250000, 5.000000
1635185814, 0.875000, 22.250000, 5.062500
1638055814, 0.812500, 22.187500, 5.000000
1640925814, 0.812500, 22.250000, 5.062500
1643805814, 0.812500, 22.250000, 5.062500
1646685814, 0.875000, 22.187500, 5.062500
1649555814, 0.812500, 22.187500, 5.062500
1652425814, 0.812500, 22.187500, 5.062500
1655295814, 0.812500, 22.187500, 5.062500
1658165814, 0.812500, 22.187500, 5.062500
1661035814, 0.812500, 22.187500, 5.062500
1663905814, 0.812500, 22.187500, 5.062500
1666775814, 0.812500, 22.187500, 5.062500
1669645814, 0.875000, 22.187500, 5.125000
1672515814, 0.812500, 22.187500, 5.125000
1675385814, 0.812500, 22.187500, 5.125000
1678255814, 0.875000, 22.187500, 5.062500
1681125814, 0.812500, 22.187500, 5.125000
1683995814, 0.875000, 22.125000, 5.125000
1686865814, 0.812500, 22.125000, 5.125000
1689745814, 0.812500, 22.125000, 5.125000
1692625814, 0.812500, 22.125000, 5.125000
1695505814, 0.812500, 22.125000, 5.125000
1698385814, 0.812500, 22.125000, 5.125000
1701265814, 0.812500, 22.125000, 5.125000
1704145814, 0.812500, 22.125000, 5.125000
1707025814, 0.875000, 22.125000, 5.125000
1709895814, 0.812500, 22.125000, 5.125000
1712775814, 0.812500, 22.125000, 5.187500
1715655814, 0.812500, 22.125000, 5.125000
1718535814, 0.812500, 22.125000, 5.187500
1721415814, 0.812500, 22.125000, 5.125000
1724295814, 0.812500, 22.125000, 5.187500
1727175814, 0.812500, 22.125000, 5.187500
1730055814, 0.812500, 22.125000, 5.125000
1732935814, 0.812500, 22.125000, 5.187500
1735815814, 0.812500, 22.125000, 5.187500
1738695814, 0.812500, 22.125000, 5.187500
1741575814, 0.812500, 22.062500, 5.187500
1744455814, 0.875000, 22.062500, 5.187500
1747325814, 0.812500, 22.062500, 5.187500
1750205814, 0.875000, 22.062500, 5.187500
1753075814, 0.812500, 22.125000, 5.187500
1755955814, 0.812500, 22.062500, 5.187500
1758835814, 0.812500, 22.062500, 5.187500
1761715814, 0.812500, 22.125000, 5.187500
1764595814, 0.812500, 22.062500, 5.187500
1767475814, 0.812500, 22.062500, 5.187500
1770355814, 0.812500, 22.062500, 5.187500
1773235814, 0.812500, 22.062500, 5.187500
1776115814, 0.812500, 22.062500, 5.187500
1778995814, 0.812500, 22.062500, 5.187500
1781875814, 0.812500, 22.062500, 5.187500
