time	stanley	env	control	diff_stanley	diff_control
9:07:54	2,3125	25,1625	24,3125	22,85	0,85
9:08:51	2,325	25,1875	24,3125	22,8625	0,875
9:09:49	2,33125	25,1875	24,3188	22,8562	0,86875
9:10:47	2,34063	25,1875	24,35	22,8469	0,8375
9:11:44	2,36875	25,1969	24,375	22,8281	0,821875
9:12:42	2,35938	25,1938	24,375	22,8344	0,81875
9:13:39	2,36875	25,2344	24,375	22,8656	0,859375
9:14:37	2,375	25,25	24,3781	22,875	0,871875
9:15:35	2,37188	25,25	24,4125	22,8781	0,8375
9:16:32	2,375	25,2688	24,4375	22,8938	0,83125
9:17:30	2,37812	25,3	24,4375	22,9219	0,8625
9:18:27	2,375	25,3125	24,4375	22,9375	0,875
9:19:25	2,38437	25,3125	24,4406	22,9281	0,871875
9:20:23	2,4	25,3125	24,475	22,9125	0,8375
9:21:20	2,40937	25,3594	24,5	22,95	0,859375
9:22:18	2,41875	25,375	24,5	22,9563	0,875
9:23:15	2,42188	25,375	24,5	22,9531	0,875
9:24:13	2,43125	25,375	24,5	22,9438	0,875
9:25:11	2,43438	25,375	24,5375	22,9406	0,8375
9:26:08	2,4375	25,3813	24,5625	22,9438	0,81875
9:27:06	2,4375	25,4375	24,5625	23	0,875
9:28:03	2,4375	25,4375	24,5625	23	0,875
9:29:04	2,4375	25,4625	24,5656	23,025	0,896875
9:30:13	2,44687	25,4812	24,6062	23,0344	0,875
9:31:11	2,45	25,4844	24,625	23,0344	0,859375
9:32:08	2,47812	25,5	24,625	23,0219	0,875
9:33:06	2,4875	25,5	24,625	23,0125	0,875
9:34:03	2,48125	25,5	24,6313	23,0188	0,86875
9:35:01	2,49688	25,4969	24,6656	23	0,83125
9:35:59	2,5	25,5	24,6844	23	0,815625
9:36:56	2,5	25,4781	24,6875	22,9781	0,790625
9:37:54	2,5	25,4469	24,6875	22,9469	0,759375
9:38:51	2,50312	25,4656	24,6875	22,9625	0,778125
9:39:49	2,50625	25,45	24,7	22,9437	0,75
9:40:47	2,51562	25,4406	24,725	22,925	0,715625
9:41:44	2,51875	25,4375	24,75	22,9187	0,6875
9:42:42	2,52813	25,4375	24,75	22,9094	0,6875
9:43:39	2,54062	25,4375	24,75	22,8969	0,6875
9:44:37	2,55	25,4375	24,75	22,8875	0,6875
9:45:35	2,55	25,4375	24,7531	22,8875	0,684375
9:46:32	2,5625	25,4375	24,7937	22,875	0,64375
9:47:30	2,5625	25,4375	24,8125	22,875	0,625
9:48:27	2,5625	25,4375	24,8125	22,875	0,625
9:49:25	2,5625	25,4375	24,8125	22,875	0,625
9:50:23	2,57187	25,4375	24,8125	22,8656	0,625
9:51:20	2,57187	25,4375	24,8125	22,8656	0,625
9:52:18	2,58438	25,4375	24,8156	22,8531	0,621875
9:53:15	2,59063	25,4375	24,8531	22,8469	0,584375
9:54:13	2,60625	25,4375	24,8687	22,8313	0,56875
9:55:11	2,62188	25,4375	24,875	22,8156	0,5625
9:56:08	2,62188	25,4375	24,875	22,8156	0,5625
9:57:06	2,625	25,4375	24,875	22,8125	0,5625
9:58:03	2,625	25,4375	24,875	22,8125	0,5625
9:59:01	2,625	25,4375	24,875	22,8125	0,5625
9:59:59	2,63125	25,4375	24,8813	22,8062	0,55625
10:00:56	2,63125	25,4375	24,8875	22,8062	0,55
